X1,X2,Output
27,1,1
1,76,1
31,32,1
36,4,1
52,91,1
69,51,1
10,31,1
69,34,1
89,82,1
69,27,1
66,68,1
79,64,1
49,61,1
9,84,1
68,85,1
60,16,1
59,14,1
99,91,1
66,0,1
68,76,1
84,93,1
52,47,0
75,63,1
28,69,1
27,68,1
49,63,1
15,43,1
64,57,1
95,59,1
17,99,1
46,87,1
15,63,1
94,74,1
24,2,1
79,39,1
41,41,0
100,70,1
59,14,1
51,100,1
49,39,1
56,6,1
6,54,1
62,1,1
25,4,1
87,92,1
26,1,1
38,4,1
53,54,0
86,43,1
19,41,1
48,65,1
84,78,1
39,60,1
43,82,1
53,92,1
66,53,1
42,48,0
88,87,1
87,63,1
86,18,1
20,51,1
39,55,1
100,40,1
34,95,1
81,43,1
91,59,1
91,80,1
20,32,1
5,26,1
18,80,1
45,21,1
69,37,1
73,91,1
78,86,1
100,95,1
79,13,1
58,11,1
100,22,1
94,6,1
78,46,1
67,37,1
71,95,1
44,77,1
46,96,1
39,69,1
41,59,0
69,35,1
36,98,1
53,78,1
38,86,1
25,42,1
63,18,1
43,65,1
58,83,1
85,40,1
85,87,1
97,49,1
78,91,1
14,15,1
74,45,1
37,79,1
